T,M,Time
1,1,0.434380
1,10,16.510411
1,20,31.041437
1,30,45.408872
1,40,51.822997
1,50,62.265917
1,100,62.283977
10,1,0.135885
10,10,2.138261
10,20,3.690500
10,30,5.080113
10,40,5.722864
10,50,6.715478
10,100,5.405073
20,1,0.268505
20,10,1.362709
20,20,2.161975
20,30,2.805050
20,40,3.192604
20,50,3.774130
20,100,2.987595
